Tên sản phẩm,Tên cửa hàng,Currency,Giá,Điểm đánh giá trung bình,Lượt đánh giá,Thương hiệu,Số lượng đã bán
Foil Mandala Graphic Tee,adidas,VND,500000.0,4.5,8.0,0,0.0
FARM Rio Print Relaxed Lightweight Windbreaker,adidas,VND,1300000.0,4.8,43.0,0,0.0
Adilette Comfort Slides,adidas,VND,600000.0,4.8,84.0,0,0.0
Santiago Lunch Bag,adidas,VND,500000.0,5.0,51.0,0,0.0
Club Tennis 3-Stripes Tee,adidas,VND,800000.0,4.8,39.0,0,0.0
Cloudfoam Pure 2.0  Shoes,adidas,VND,1400000.0,4.4,594.0,0,0.0
Adilette Comfort Slides,adidas,VND,700000.0,4.7,3812.0,0,0.0
Designed to Move High-Rise Sport Zebra 7/8 Tights,adidas,VND,900000.0,3.7,20.0,0,0.0
Nike Dri-FIT,Nike,VND,700000.0,0.0,0.0,0,0.0
Cushioned X Mid-Crew Socks 3 Pairs,adidas,VND,375000.0,5.0,5.0,0,0.0
Originals Flex Shoes,adidas,VND,1400000.0,4.5,41.0,0,0.0
Air Jordan 1 Low SE,Nike,VND,2375000.0,0.0,0.0,0,0.0
adidas Sportswear Future Icons Logo Graphic Pants,adidas,VND,1100000.0,4.7,44.0,0,0.0
Supernova+ Shoes,adidas,VND,1800000.0,4.3,151.0,0,0.0
Puremotion Shoes,adidas,VND,1200000.0,4.9,18.0,0,0.0
Nizza Platform Shoes,adidas,VND,1150000.0,4.7,1599.0,0,0.0
Nike Air Force 1 LV8 Utility,Nike,VND,1924250.0,0.0,0.0,0,0.0
AEROREADY Designed to Move Sport Motion Logo Tee,adidas,VND,525000.0,4.5,46.0,0,0.0
ZX 2K Shoes,adidas,VND,1200000.0,4.9,27.0,0,0.0
adidas Z.N.E. Sportswear Pants,adidas,VND,1500000.0,4.8,30.0,0,0.0
Indicator Jacket,adidas,VND,1000000.0,4.8,4.0,0,0.0
Classic 3-Stripes Swimsuit,adidas,VND,1000000.0,4.5,35.0,0,0.0
Crew Sweatshirt,adidas,VND,1400000.0,5.0,1.0,0,0.0
Vintage Airliner Luxe Shopper Bag,adidas,VND,1025000.0,4.7,132.0,0,0.0
HEAT.RDY Running Tank Top,adidas,VND,1025000.0,4.8,9.0,0,0.0
Air Jordan 1 Zoom CMFT,Nike,VND,3750000.0,4.8,120.0,0,0.0
Karlie Kloss Bikini Top,adidas,VND,875000.0,4.8,4.0,0,0.0
Jacquard Trefoil Crew Socks 2 Pairs,adidas,VND,300000.0,5.0,9.0,0,0.0
Nike Offline Pack,Nike,VND,2324250.0,4.8,5.0,0,0.0
Superstar Shoes,adidas,VND,1800000.0,4.8,1866.0,0,0.0
Air Jordan XXXV Low DS PF,Nike,VND,4125000.0,0.0,0.0,0,0.0
Runfalcon 2.0 Shoes,adidas,VND,900000.0,4.6,451.0,0,0.0
Brand Love Repeat Logo High-Waist Woven Pants,adidas,VND,900000.0,4.3,16.0,0,0.0
Solid Swim Shorts,adidas,VND,500000.0,4.6,70.0,0,0.0
Graphic Tee and Shorts Set,adidas,VND,650000.0,5.0,1.0,0,0.0
X9000L4 Shoes,adidas,VND,2450000.0,4.5,21.0,0,0.0
Nike College (Georgia),Nike,VND,875000.0,0.0,0.0,0,0.0
ZX 2K Boost 2.0 Shoes,adidas,VND,2625000.0,4.7,58.0,0,0.0
X Ghosted.3 Laceless Firm Ground Cleats,adidas,VND,2000000.0,4.4,281.0,0,0.0
Grand Court SE Shoes,adidas,VND,1300000.0,4.8,165.0,0,0.0
Nike Dri-FIT Sideline Velocity Lockup (NFL Buffalo Bills),Nike,VND,1000000.0,0.0,0.0,0,0.0
Racer TR21 Shoes,adidas,VND,1500000.0,4.6,377.0,0,0.0
Kaptir Super Shoes,adidas,VND,1800000.0,4.2,319.0,0,0.0
Adicolor Essentials Trefoil Swim Shorts,adidas,VND,700000.0,4.8,23.0,0,0.0
Badge of Sport Classic Tee (Plus size),adidas,VND,500000.0,4.3,27.0,0,0.0
Essentials Loose Logo Tank Top,adidas,VND,500000.0,4.8,116.0,0,0.0
Brand Love Slanted Logo Boyfriend Tee,adidas,VND,575000.0,4.6,7.0,0,0.0
Response Super 2.0 Shoes,adidas,VND,2025000.0,4.5,94.0,0,0.0
Stretch Cotton Trunk Briefs 3 Pairs,adidas,VND,525000.0,4.4,9.0,0,0.0
Retrorun Shoes,adidas,VND,1300000.0,4.5,762.0,0,0.0
Hamburg Shoes,adidas,VND,1400000.0,4.8,29.0,0,0.0
AEROREADY Designed to Move Sport Motion Logo Hoodie,adidas,VND,1300000.0,4.8,89.0,0,0.0
Own the Run Long Sleeve Tee,adidas,VND,900000.0,4.7,350.0,0,0.0
ZX 2K Boost Shoes,adidas,VND,2625000.0,4.7,2540.0,0,0.0
Copa Sense.3 Turf Shoes,adidas,VND,1600000.0,4.3,106.0,0,0.0
