Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Cluster,Cluster Name
Đầm Jean Nữ Thời Trang,THỜI TRANG TINA,235000.0,OEM,4.0,4.3,11.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm Jean Nữ Thắt Dây Eo Thời Trang,THỜI TRANG TINA,199000.0,OEM,1.0,4.0,2.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm Xòe Công Sở Phối Lưới Thời Trang,THỜI TRANG TINA,148500.0,OEM,1.0,4.0,1.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm Nữ Thời Trang Phối Hoa Rời-V6,THỜI TRANG TINA,149000.0,OEM,1.0,1.0,2.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Váy Đầm Che Bụng Thời Trang VH91 - Hàng Quảng Châu Cao Cấp,Avashop Thời Trang,370000.0,OEM,1.0,5.0,5.0,Váy,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm nữ bông xếp tầng thời trang,Hương Nemo Style,155000.0,VONESA,1.0,4.0,5.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm nữ tay lưới dáng xòe thời trang,Hương Nemo Style,145000.0,VONESA,1.0,5.0,1.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm nữ voan lụa thời trang cao cấp,Hương Nemo Style,145000.0,VONESA,1.0,4.0,1.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
ĐẦM XOÈ CÔNG SỞ DỰ TIỆC RÚT EO THỜI TRANG HÀN QUỐC DN20101101,DONA Thời Trang,194000.0,OEM,1.0,4.0,1.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm Ngắn Sơmi Nữ Thời Trang JUNO Thun Eo JNDLU014,JUNO,595000.0,Juno,1.0,5.0,3.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm Dài Nữ Thời Trang JUNO Dây Bản To JNDLU024 - M,JUNO,595000.0,Juno,1.0,5.0,1.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm Mini Nữ Thời Trang JUNO Tay Vai Lệch JNDLU021,JUNO,595000.0,Juno,1.0,5.0,1.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm Midi Nữ Thời Trang JUNO Kiểu Hai Dây Cut Out JNDLU043,JUNO,595000.0,Juno,1.0,5.0,1.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
"Đầm váy nữ thời trang họa tiết kiểu mùa hè Hàn Quốc dành cho phái nữ, Đầm nữ dáng xoè ARCTIC HUNTER AH35",Hai Fashion,199000.0,ARCTIC HUNTER,1.0,3.0,2.0,Váy,VND,0,Sản phẩm cao cấp (ít phổ biến)
