Tên sản phẩm	Tên cửa hàng	Giá	Thương hiệu	Lượt đánh giá	Điểm đánh giá trung bình	Số lượng đã bán	Link
Đầm Jean Nữ Thời Trang	THỜI TRANG TINA	235000	OEM	4	4.3	11	https://tiki.vn/dam-jean-nu-thoi-trang-p62684974.html?spid=71168959
Đầm bông thời trang	Hương Nemo Style	155000	VONESA	0	0.0	1	https://tiki.vn/dam-bong-thoi-trang-p81571090.html?spid=81571091
Đầm Jean Nữ Thắt Dây Eo Thời Trang	THỜI TRANG TINA	199000	OEM	1	4.0	2	https://tiki.vn/dam-jean-nu-that-day-eo-thoi-trang-p76143290.html?spid=84564343
Đầm xoè đính hoa thời trang	Xưởng Quần Áo Đẹp	155000	VONESA	0	0.0	0	https://tiki.vn/dam-xoe-dinh-hoa-thoi-trang-p74382534.html?spid=74382535
Đầm Xòe Công Sở Phối Lưới Thời Trang	THỜI TRANG TINA	148500	OEM	1	4.0	1	https://tiki.vn/dam-xoe-cong-so-phoi-luoi-thoi-trang-p55096707.html?spid=56765185
Đầm Xòe Công Sở Cổ Vest Thời Trang	THỜI TRANG TINA	219000	OEM	0	0.0	0	https://tiki.vn/dam-xoe-cong-so-co-vest-thoi-trang-p55143526.html?spid=58201307
Đầm bí đáng yêu thời trang	Hương Nemo Style	185000	VONESA	0	0.0	1	https://tiki.vn/dam-bi-dang-yeu-thoi-trang-p78892706.html?spid=78892710
Đầm hoa tay phồng thời trang	Hương Nemo Style	169000	VONESA	0	0.0	0	https://tiki.vn/dam-hoa-tay-phong-thoi-trang-p81571301.html?spid=81571302
Đầm Nữ Thời Trang Phối Hoa Rời-V6	THỜI TRANG TINA	149000	OEM	1	1.0	2	https://tiki.vn/dam-nu-thoi-trang-phoi-hoa-roi-v6-p74596718.html?spid=84085420
ĐẦM XÒE NHÚN VAI KẾT HẠT TRAI THỜI TRANG	THỜI TRANG TINA	89000	OEM	0	0.0	1	https://tiki.vn/dam-xoe-nhun-vai-ket-hat-trai-thoi-trang-p68999551.html?spid=68999555
Đầm lệch vai bèo thời trang	Xưởng Quần Áo Đẹp	194000	VONESA	0	0.0	0	https://tiki.vn/dam-lech-vai-beo-thoi-trang-p75403333.html?spid=75403339
Đầm kết nơ vai thời trang	Xưởng Quần Áo Đẹp	219000	VONESA	0	0.0	0	https://tiki.vn/dam-ket-no-vai-thoi-trang-p76150325.html?spid=76150327
Đầm hai dây thời trang nữ	ShopDucThang	367630	OEM	0	0.0	0	https://tiki.vn/dam-hai-day-thoi-trang-nu-p197162364.html?spid=197162372
Đầm tay phồng rút dây thời trang	Xưởng Quần Áo Đẹp	219000	VONESA	0	0.0	0	https://tiki.vn/dam-tay-phong-rut-day-thoi-trang-p85553164.html?spid=85553165
Đầm lụa xòe tay bo thời trang	Hương Nemo Style	145000	VONESA	0	0.0	0	https://tiki.vn/dam-lua-xoe-tay-bo-thoi-trang-p78714572.html?spid=78714583
Đầm xòe nhún vai kết hạt trai thời trang a b c	THỜI TRANG TINA	99000	OEM	28	3.3	67	https://tiki.vn/dam-xoe-nhun-vai-ket-hat-trai-thoi-trang-p58283807.html?spid=58283809
Đầm nữ tay phối ren thời trang	Xưởng Quần Áo Đẹp	187000	VONESA	0	0.0	0	https://tiki.vn/dam-nu-tay-phoi-ren-thoi-trang-p76200789.html?spid=76200793
Đầm tay phồng rút dây thời trang	Hương Nemo Style	175000	VONESA	0	0.0	0	https://tiki.vn/dam-tay-phong-rut-day-thoi-trang-p85553452.html?spid=85553453
Váy/ đầm dạ thời trang nữ thu đông	So Peachy House	379000	AAA	0	0.0	0	https://tiki.vn/vay-dam-da-thoi-trang-nu-thu-dong-p128321818.html?spid=128321822
Đầm Xòe Phối Nút Cách Điệu Thời Trang	Misa Fashion	286000	OEM	0	0.0	0	https://tiki.vn/dam-xoe-phoi-nut-cach-dieu-thoi-trang-p86542163.html?spid=86542408
Đầm tay phồng rút dây thời trang	Hương Nemo Style	155000	VONESA	0	0.0	0	https://tiki.vn/dam-tay-phong-rut-day-thoi-trang-p78879276.html?spid=78879278
