Tên sản phẩm,Tên cửa hàng,Currency,Giá,Điểm đánh giá trung bình,Lượt đánh giá,Thương hiệu,Số lượng đã bán,Fit
Foil Mandala Graphic Tee,adidas,VND,500000.0,4.5,8.0,,,
FARM Rio Print Relaxed Lightweight Windbreaker,adidas,VND,1300000.0,4.8,43.0,,,
Adilette Comfort Slides,adidas,VND,600000.0,4.8,84.0,,,
Santiago Lunch Bag,adidas,VND,500000.0,5.0,51.0,,,
Club Tennis 3-Stripes Tee,adidas,VND,800000.0,4.8,39.0,,,
Cloudfoam Pure 2.0  Shoes,adidas,VND,1400000.0,4.4,594.0,,,
Adilette Comfort Slides,adidas,VND,700000.0,4.7,3812.0,,,
Designed to Move High-Rise Sport Zebra 7/8 Tights,adidas,VND,900000.0,3.7,20.0,,,
Nike Dri-FIT,Nike,VND,700000.0,,,,,
Cushioned X Mid-Crew Socks 3 Pairs,adidas,VND,375000.0,5.0,5.0,,,
Originals Flex Shoes,adidas,VND,1400000.0,4.5,41.0,,,
Air Jordan 1 Low SE,Nike,VND,2375000.0,,,,,
adidas Sportswear Future Icons Logo Graphic Pants,adidas,VND,1100000.0,4.7,44.0,,,
Supernova+ Shoes,adidas,VND,1800000.0,4.3,151.0,,,
Puremotion Shoes,adidas,VND,1200000.0,4.9,18.0,,,
Nizza Platform Shoes,adidas,VND,1150000.0,4.7,1599.0,,,
Nike Air Force 1 LV8 Utility,Nike,VND,1924250.0,,,,,
AEROREADY Designed to Move Sport Motion Logo Tee,adidas,VND,525000.0,4.5,46.0,,,
ZX 2K Shoes,adidas,VND,1200000.0,4.9,27.0,,,
adidas Z.N.E. Sportswear Pants,adidas,VND,1500000.0,4.8,30.0,,,
Indicator Jacket,adidas,VND,1000000.0,4.8,4.0,,,
Classic 3-Stripes Swimsuit,adidas,VND,1000000.0,4.5,35.0,,,
Crew Sweatshirt,adidas,VND,1400000.0,5.0,1.0,,,
Vintage Airliner Luxe Shopper Bag,adidas,VND,1025000.0,4.7,132.0,,,
HEAT.RDY Running Tank Top,adidas,VND,1025000.0,4.8,9.0,,,
Air Jordan 1 Zoom CMFT,Nike,VND,3750000.0,4.8,120.0,,,
Karlie Kloss Bikini Top,adidas,VND,875000.0,4.8,4.0,,,
Jacquard Trefoil Crew Socks 2 Pairs,adidas,VND,300000.0,5.0,9.0,,,
Nike Offline Pack,Nike,VND,2324250.0,4.8,5.0,,,
Superstar Shoes,adidas,VND,1800000.0,4.8,1866.0,,,
Air Jordan XXXV Low DS PF,Nike,VND,4125000.0,,,,,
Runfalcon 2.0 Shoes,adidas,VND,900000.0,4.6,451.0,,,
Brand Love Repeat Logo High-Waist Woven Pants,adidas,VND,900000.0,4.3,16.0,,,
Solid Swim Shorts,adidas,VND,500000.0,4.6,70.0,,,
Graphic Tee and Shorts Set,adidas,VND,650000.0,5.0,1.0,,,
X9000L4 Shoes,adidas,VND,2450000.0,4.5,21.0,,,
Nike College (Georgia),Nike,VND,875000.0,,,,,
ZX 2K Boost 2.0 Shoes,adidas,VND,2625000.0,4.7,58.0,,,
X Ghosted.3 Laceless Firm Ground Cleats,adidas,VND,2000000.0,4.4,281.0,,,
Grand Court SE Shoes,adidas,VND,1300000.0,4.8,165.0,,,
Nike Dri-FIT Sideline Velocity Lockup (NFL Buffalo Bills),Nike,VND,1000000.0,,,,,
Racer TR21 Shoes,adidas,VND,1500000.0,4.6,377.0,,,
Kaptir Super Shoes,adidas,VND,1800000.0,4.2,319.0,,,
Adicolor Essentials Trefoil Swim Shorts,adidas,VND,700000.0,4.8,23.0,,,
Badge of Sport Classic Tee (Plus size),adidas,VND,500000.0,4.3,27.0,,,
Essentials Loose Logo Tank Top,adidas,VND,500000.0,4.8,116.0,,,
Brand Love Slanted Logo Boyfriend Tee,adidas,VND,575000.0,4.6,7.0,,,
Response Super 2.0 Shoes,adidas,VND,2025000.0,4.5,94.0,,,
Stretch Cotton Trunk Briefs 3 Pairs,adidas,VND,525000.0,4.4,9.0,,,
Retrorun Shoes,adidas,VND,1300000.0,4.5,762.0,,,
Hamburg Shoes,adidas,VND,1400000.0,4.8,29.0,,,
AEROREADY Designed to Move Sport Motion Logo Hoodie,adidas,VND,1300000.0,4.8,89.0,,,
Own the Run Long Sleeve Tee,adidas,VND,900000.0,4.7,350.0,,,
ZX 2K Boost Shoes,adidas,VND,2625000.0,4.7,2540.0,,,
Copa Sense.3 Turf Shoes,adidas,VND,1600000.0,4.3,106.0,,,
Kaptir 2.0 Shoes,adidas,VND,1300000.0,4.7,41.0,,,
Response Super 2.0 Shoes,adidas,VND,1575000.0,4.2,38.0,,,
Nike Therma City Connect (MLB Boston Red Sox),Nike,VND,2000000.0,,,,,
HER Studio London Adilette Slides,adidas,VND,800000.0,4.4,207.0,,,
adidas Sportswear Future Icons 3-Stripes Pants,adidas,VND,1100000.0,4.7,54.0,,,
adidas Sportswear Seasonals Stadium Sweatshirt,adidas,VND,1050000.0,4.5,2.0,,,
Racer TR21 Shoes,adidas,VND,1325000.0,4.8,78.0,,,
Marimekko Adilette Slides,adidas,VND,800000.0,4.4,207.0,,,
adidas x Zoe Saldana AEROREADY Sport Tee,adidas,VND,600000.0,5.0,6.0,,,
Nike College Dri-FIT Coach (Duke),Nike,VND,1125000.0,,,,,
AEROREADY  Designed to Move Sport Camo-Print Shorts,adidas,VND,600000.0,4.8,157.0,,,
Terrex Trailmaker Hiking Shoes,adidas,VND,1150000.0,4.7,31.0,,,
ZX 1K Boost Shoes,adidas,VND,2250000.0,3.9,515.0,,,
Swift Run X Shoes,adidas,VND,1100000.0,5.0,6.0,,,
FortaRun Lace Running Shoes,adidas,VND,1100000.0,4.7,104.0,,,
Supernova+ Shoes,adidas,VND,2100000.0,4.5,275.0,,,
ZX 1K Shoes,adidas,VND,1150000.0,4.7,17.0,,,
adidas x Zoe Saldana Crop Logo Tee (Plus Size),adidas,VND,650000.0,4.4,10.0,,,
Nike Sportswear,Nike,VND,874250.0,,,,,
Ultraboost DNA 1.0 Shoes,adidas,VND,3600000.0,4.8,584.0,,,
Marathon Running Jacket (Plus Size),adidas,VND,2000000.0,4.3,3.0,,,
VFA Backpack,adidas,VND,1000000.0,4.9,76.0,,,
adidas Sportswear Seasonals Stadium Shorts,adidas,VND,800000.0,4.6,8.0,,,
Lil Stripe Ignite SZN Hoodie,adidas,VND,1225000.0,5.0,2.0,,,
Split Hoodie,adidas,VND,1400000.0,4.8,32.0,,,
ZX 1K Boost Shoes,adidas,VND,1750000.0,4.2,77.0,,,
Adilette Clogs,adidas,VND,1025000.0,4.6,2005.0,,,
Long Sleeve Dress,adidas,VND,1400000.0,5.0,1.0,,,
Lite Racer BYD 2.0 Shoes,adidas,VND,1400000.0,4.6,135.0,,,
MLB Houston Astros,Nike,VND,2875000.0,4.8,5.0,,,
3-Stripes Crew Socks 3 Pairs,adidas,VND,300000.0,5.0,2.0,,,
adidas Superstar x LEGO® Shoes,adidas,VND,1600000.0,5.0,87.0,,,
Stan Smith Shoes,adidas,VND,1575000.0,4.6,1841.0,,,
adidas Sportswear Future Icons Hoodie,adidas,VND,1150000.0,4.6,14.0,,,
adidas Sportswear Comfy & Chill Full Zip Hoodie,adidas,VND,1400000.0,4.2,32.0,,,
"Quần 1 sọc suôn unisex , Quần ống suôn 1 sọc , quần 1 line , quần sọc nam nữ nỉ cotton",Đầm YuRin,,64000.0,4.5,13.0,OEM,38.0,
Quần Jogger Nam Nữ - Cực Chất,Xưởng Quần Áo Đẹp,,182000.0,3.8,12.0,VONESA,62.0,
"Quần jogger nỉ nam ( hình thật ) , quần nỉ nam, quần thể thao nam, quần nỉ nữ, quần thể thao, quần jogger,quần 1sọc phối",Đầm YuRin,,82000.0,4.1,14.0,OEM,36.0,
Quần jogger nam năng động cá tính,Xưởng Quần Áo Đẹp,,119000.0,5.0,1.0,VONESA,6.0,
"Quần jogger, quần Kaki khoá chấn, quần jogger zip",Jins Store,,98000.0,4.5,2.0,OEM,4.0,
Quần sọc thể thao quần 1 sọc Unisex,Jins Store,,85000.0,4.3,3.0,OEM,7.0,
"Quần nam,quần nỉ nam ống bó chun 2 màu Q03",Haint Boutique Official,,99000.0,5.0,1.0,Haint Boutique,5.0,
Quần Jogger 3 sọc thời trang đường phố,Xưởng Quần Áo Đẹp,,119000.0,5.0,1.0,VONESA,1.0,
"Quần jogger zip, quần Kaki khoá chân vải giãn",ĐỖ THIỆN UNISEX,,109000.0,0.0,0.0,OEM,0.0,
"Quần túi hộp, quần jogger nam phong cách lính ARM-1248",Gentlemen,,680000.0,0.0,0.0,OEM,0.0,
Quần jogger thể thao họa tiết chữ,Xưởng Quần Áo Đẹp,,124000.0,0.0,0.0,VONESA,0.0,
Quần Jogger Nam Thể Thao - Quần Nỉ Nam Lót Lông Cao Cấp Chính Hãng,Danido Store,,179000.0,4.6,163.0,Amalife,663.0,
"Quần túi hộp, quần jogger nam ARM-1275",Gentlemen,,700000.0,0.0,0.0,OEM,0.0,
"Quần thể thao 3 sọc nam nữ ( hình thật ) , quần jogger nỉ nam 3 sọc, quần jogger thun, quần thể thao nam, quần nỉ nam",Jins Store,,60000.0,0.0,0.0,OEM,3.0,
Quần nỉ 3 sọc mũi tên cực cá tính,Xưởng Quần Áo Đẹp,,94000.0,0.0,0.0,VONESA,0.0,
Quần Kaki Jogger Nam Cao Cấp,Jins Store,,109000.0,5.0,1.0,Jinrinteen,2.0,
"(M L XL, 40-70kg) Quần 3 sọc dọc unisex nam/nữ. Quần 3 line unisex. Quần dài thun unisex. Quần 3 sọc nam. Quần 3 sọc nữ. Quần 3 line nam. Quần 3 line nữ. HÀNG MAY TRỰC TIẾP TẠI VIỆT NAM",hongduyen2188,,109000.0,0.0,0.0,OEM,4.0,
"(M L XL, 40-70kg) Quần 1 sọc dọc unisex nam/nữ. Quần 1 line unisex. Quần dài thun unisex. Quần 1 sọc nam. Quần 1 sọc nữ. Quần 1 line nam. Quần 1 line nữ. HÀNG MAY TRỰC TIẾP TẠI VIỆT NAM",hongduyen2188,,109000.0,0.0,0.0,OEM,1.0,
"(M L XL, 40-70KG) Quần 2 sọc dọc unisex nam/nữ. Quần 2 line chất thun da cá dày dặn. Quần 2 sọc nam. Quần 2 sọc nữ. Quần 2 line nam. Quần 2 line nữ. Quần thun dài unisex",hongduyen2188,,109000.0,0.0,0.0,OEM,0.0,
